p,K,up_wait,up_peak,queue_avg,down_peak_grid,down_peak,esc_wait,travel,n,down_LOS
0.0,0,22.00335985965713,6.2,51.150058747289926,8.0,0.61,19.471817569187564,52.59114568543329,5,C
0.1,1,22.65449486485315,8.0,48.64150518931022,8.0,0.64,19.462881020472413,53.08949217831427,5,C
0.1,2,31.63400119900163,8.0,58.42528912975281,7.8,0.5,17.278745487668736,57.95060470134551,5,C
0.1,3,43.67315547053411,8.6,68.31761715872922,6.8,0.44000000000000006,16.40559367236035,68.46592837669652,5,C
0.3,1,19.0073301258275,10.6,40.70210377695571,8.0,0.9800000000000001,23.499399915968574,53.44887958040156,5,D
0.3,2,16.73682017291633,7.8,39.008405747628714,8.0,0.8099999999999999,22.1618277535148,50.463966069941826,5,D
0.3,3,24.528640119999693,8.4,45.27417226854063,8.0,0.5900000000000001,18.816699328036314,53.06200275920203,5,C
0.3,4,36.34046667972985,8.75,56.86556512439471,8.0,0.525,17.89116710586125,62.890272250643456,4,C
0.5,1,37.52051268753783,14.0,58.95936484994978,8.0,0.8,22.760430372699936,70.71868005767024,2,D
0.5,2,16.673361316614386,8.6,41.4864328611644,8.0,0.8400000000000001,22.95059589745821,49.953094576591795,5,D
0.5,3,12.152459072968005,7.6,31.505932403012274,8.6,1.34,25.672108688861755,49.69114918653715,5,E
0.5,4,17.0075208372641,8.2,33.77036707099133,8.0,0.9400000000000001,22.923737243451676,50.40085975235661,5,D
0.5,5,31.43313237045485,8.8,49.915974582324765,8.0,0.8099999999999999,20.582150054024062,61.32450931010406,5,D
0.7,2,27.844679963008538,12.6,50.346728667518875,8.0,0.54,20.228709592386725,57.520300903106275,5,C
0.7,3,15.324631172174056,9.4,40.221329413131926,8.0,1.0,26.403786708476265,51.83070384123778,5,D
0.7,4,8.467406414833004,7.2,27.049357995067602,8.0,1.22,27.14762266132228,47.81793869325835,5,E
0.7,5,9.155834488478632,8.2,21.188222137024816,8.8,1.58,27.577565430775774,48.32633772656742,5,E
0.7,6,28.168533668969317,9.0,48.981106130249714,8.0,1.1625,24.66944340075844,62.54589381768946,4,E
0.8,2,35.42167768200221,13.6,56.88059775136272,7.4,0.49000000000000005,20.232272111888015,65.64540399641895,5,C
0.8,3,21.78112064753235,10.8,49.22299820929369,8.0,0.64,24.031684122267517,54.44832896962161,5,C
0.8,4,10.671913597864911,7.6,33.10032300553828,8.0,0.95,26.016400634561897,48.094323095517616,5,D
0.8,5,6.3194984940321435,6.8,21.338657814303264,9.4,1.7100000000000002,29.789003673120163,48.631038300050186,5,E
0.8,6,9.556677826576168,8.6,17.899358300387444,8.2,1.41,27.686986982188944,48.74140649118742,5,E
