[2026-04-18 13:36:30] 전체 모드: 100 시나리오
[2026-04-18 13:36:30] [1/100] p10_cfg1_s42: 시작 (p=0.1, cfg=1, seed=42)
[2026-04-18 13:36:33] [1/100] p10_cfg1_s42: OK (2.6s, spawn=212, pass=201)
[2026-04-18 13:36:33] [2/100] p10_cfg1_s43: 시작 (p=0.1, cfg=1, seed=43)
[2026-04-18 13:36:36] [2/100] p10_cfg1_s43: OK (2.6s, spawn=206, pass=205)
[2026-04-18 13:36:36] [3/100] p10_cfg1_s44: 시작 (p=0.1, cfg=1, seed=44)
[2026-04-18 13:36:39] [3/100] p10_cfg1_s44: OK (2.6s, spawn=181, pass=181)
[2026-04-18 13:36:39] [4/100] p10_cfg1_s45: 시작 (p=0.1, cfg=1, seed=45)
[2026-04-18 13:36:42] [4/100] p10_cfg1_s45: OK (3.0s, spawn=203, pass=203)
[2026-04-18 13:36:42] [5/100] p10_cfg1_s46: 시작 (p=0.1, cfg=1, seed=46)
[2026-04-18 13:36:44] [5/100] p10_cfg1_s46: OK (2.8s, spawn=222, pass=216)
[2026-04-18 13:36:44] [6/100] p10_cfg2_s42: 시작 (p=0.1, cfg=2, seed=42)
[2026-04-18 13:36:47] [6/100] p10_cfg2_s42: OK (2.2s, spawn=212, pass=182)
[2026-04-18 13:36:47] [7/100] p10_cfg2_s43: 시작 (p=0.1, cfg=2, seed=43)
[2026-04-18 13:36:49] [7/100] p10_cfg2_s43: OK (2.6s, spawn=206, pass=184)
[2026-04-18 13:36:49] [8/100] p10_cfg2_s44: 시작 (p=0.1, cfg=2, seed=44)
[2026-04-18 13:36:52] [8/100] p10_cfg2_s44: OK (2.8s, spawn=181, pass=174)
[2026-04-18 13:36:52] [9/100] p10_cfg2_s45: 시작 (p=0.1, cfg=2, seed=45)
[2026-04-18 13:36:55] [9/100] p10_cfg2_s45: OK (3.1s, spawn=203, pass=184)
[2026-04-18 13:36:55] [10/100] p10_cfg2_s46: 시작 (p=0.1, cfg=2, seed=46)
[2026-04-18 13:36:59] [10/100] p10_cfg2_s46: OK (3.2s, spawn=222, pass=197)
[2026-04-18 13:36:59] [11/100] p10_cfg3_s42: 시작 (p=0.1, cfg=3, seed=42)
[2026-04-18 13:37:01] [11/100] p10_cfg3_s42: OK (2.5s, spawn=212, pass=152)
[2026-04-18 13:37:01] [12/100] p10_cfg3_s43: 시작 (p=0.1, cfg=3, seed=43)
[2026-04-18 13:37:05] [12/100] p10_cfg3_s43: OK (3.5s, spawn=206, pass=145)
[2026-04-18 13:37:05] [13/100] p10_cfg3_s44: 시작 (p=0.1, cfg=3, seed=44)
[2026-04-18 13:37:07] [13/100] p10_cfg3_s44: OK (2.3s, spawn=181, pass=137)
[2026-04-18 13:37:07] [14/100] p10_cfg3_s45: 시작 (p=0.1, cfg=3, seed=45)
[2026-04-18 13:37:10] [14/100] p10_cfg3_s45: OK (3.0s, spawn=203, pass=167)
[2026-04-18 13:37:10] [15/100] p10_cfg3_s46: 시작 (p=0.1, cfg=3, seed=46)
[2026-04-18 13:37:13] [15/100] p10_cfg3_s46: OK (3.2s, spawn=222, pass=147)
[2026-04-18 13:37:13] [16/100] p10_cfg4_s42: 시작 (p=0.1, cfg=4, seed=42)
[2026-04-18 13:37:15] [16/100] p10_cfg4_s42: OK (1.9s, spawn=212, pass=118)
[2026-04-18 13:37:15] [17/100] p10_cfg4_s43: 시작 (p=0.1, cfg=4, seed=43)
[2026-04-18 13:37:18] [17/100] p10_cfg4_s43: OK (3.0s, spawn=206, pass=124)
[2026-04-18 13:37:18] [18/100] p10_cfg4_s44: 시작 (p=0.1, cfg=4, seed=44)
[2026-04-18 13:37:20] [18/100] p10_cfg4_s44: OK (1.7s, spawn=181, pass=119)
[2026-04-18 13:37:20] [19/100] p10_cfg4_s45: 시작 (p=0.1, cfg=4, seed=45)
[2026-04-18 13:37:22] [19/100] p10_cfg4_s45: OK (2.2s, spawn=203, pass=118)
[2026-04-18 13:37:22] [20/100] p10_cfg4_s46: 시작 (p=0.1, cfg=4, seed=46)
[2026-04-18 13:37:24] [20/100] p10_cfg4_s46: OK (2.3s, spawn=222, pass=113)
[2026-04-18 13:37:24] [21/100] p30_cfg1_s42: 시작 (p=0.3, cfg=1, seed=42)
[2026-04-18 13:37:28] [21/100] p30_cfg1_s42: OK (4.0s, spawn=212, pass=202)
[2026-04-18 13:37:28] [22/100] p30_cfg1_s43: 시작 (p=0.3, cfg=1, seed=43)
[2026-04-18 13:37:32] [22/100] p30_cfg1_s43: OK (3.3s, spawn=206, pass=185)
[2026-04-18 13:37:32] [23/100] p30_cfg1_s44: 시작 (p=0.3, cfg=1, seed=44)
[2026-04-18 13:37:34] [23/100] p30_cfg1_s44: OK (2.7s, spawn=181, pass=169)
[2026-04-18 13:37:34] [24/100] p30_cfg1_s45: 시작 (p=0.3, cfg=1, seed=45)
[2026-04-18 13:37:38] [24/100] p30_cfg1_s45: OK (3.7s, spawn=203, pass=180)
[2026-04-18 13:37:38] [25/100] p30_cfg1_s46: 시작 (p=0.3, cfg=1, seed=46)
[2026-04-18 13:37:41] [25/100] p30_cfg1_s46: OK (3.2s, spawn=222, pass=196)
[2026-04-18 13:37:41] [26/100] p30_cfg2_s42: 시작 (p=0.3, cfg=2, seed=42)
[2026-04-18 13:37:45] [26/100] p30_cfg2_s42: OK (3.4s, spawn=212, pass=212)
[2026-04-18 13:37:45] [27/100] p30_cfg2_s43: 시작 (p=0.3, cfg=2, seed=43)
[2026-04-18 13:37:48] [27/100] p30_cfg2_s43: OK (3.3s, spawn=206, pass=206)
[2026-04-18 13:37:48] [28/100] p30_cfg2_s44: 시작 (p=0.3, cfg=2, seed=44)
[2026-04-18 13:37:51] [28/100] p30_cfg2_s44: OK (3.2s, spawn=181, pass=181)
[2026-04-18 13:37:51] [29/100] p30_cfg2_s45: 시작 (p=0.3, cfg=2, seed=45)
[2026-04-18 13:37:54] [29/100] p30_cfg2_s45: OK (3.0s, spawn=203, pass=201)
[2026-04-18 13:37:54] [30/100] p30_cfg2_s46: 시작 (p=0.3, cfg=2, seed=46)
[2026-04-18 13:37:58] [30/100] p30_cfg2_s46: OK (3.8s, spawn=222, pass=222)
[2026-04-18 13:37:58] [31/100] p30_cfg3_s42: 시작 (p=0.3, cfg=3, seed=42)
[2026-04-18 13:38:01] [31/100] p30_cfg3_s42: OK (2.9s, spawn=212, pass=207)
[2026-04-18 13:38:01] [32/100] p30_cfg3_s43: 시작 (p=0.3, cfg=3, seed=43)
[2026-04-18 13:38:04] [32/100] p30_cfg3_s43: OK (2.7s, spawn=206, pass=188)
[2026-04-18 13:38:04] [33/100] p30_cfg3_s44: 시작 (p=0.3, cfg=3, seed=44)
[2026-04-18 13:38:07] [33/100] p30_cfg3_s44: OK (2.7s, spawn=181, pass=180)
[2026-04-18 13:38:07] [34/100] p30_cfg3_s45: 시작 (p=0.3, cfg=3, seed=45)
[2026-04-18 13:38:10] [34/100] p30_cfg3_s45: OK (3.5s, spawn=203, pass=200)
[2026-04-18 13:38:10] [35/100] p30_cfg3_s46: 시작 (p=0.3, cfg=3, seed=46)
[2026-04-18 13:38:13] [35/100] p30_cfg3_s46: OK (2.6s, spawn=222, pass=191)
[2026-04-18 13:38:13] [36/100] p30_cfg4_s42: 시작 (p=0.3, cfg=4, seed=42)
[2026-04-18 13:38:15] [36/100] p30_cfg4_s42: OK (2.0s, spawn=212, pass=164)
[2026-04-18 13:38:15] [37/100] p30_cfg4_s43: 시작 (p=0.3, cfg=4, seed=43)
[2026-04-18 13:38:17] [37/100] p30_cfg4_s43: OK (2.3s, spawn=206, pass=158)
[2026-04-18 13:38:17] [38/100] p30_cfg4_s44: 시작 (p=0.3, cfg=4, seed=44)
[2026-04-18 13:38:19] [38/100] p30_cfg4_s44: OK (1.8s, spawn=181, pass=149)
[2026-04-18 13:38:19] [39/100] p30_cfg4_s45: 시작 (p=0.3, cfg=4, seed=45)
[2026-04-18 13:38:21] [39/100] p30_cfg4_s45: OK (1.9s, spawn=203, pass=163)
[2026-04-18 13:38:21] [40/100] p30_cfg4_s46: 시작 (p=0.3, cfg=4, seed=46)
[2026-04-18 13:38:23] [40/100] p30_cfg4_s46: OK (2.5s, spawn=222, pass=171)
[2026-04-18 13:38:23] [41/100] p50_cfg1_s42: 시작 (p=0.5, cfg=1, seed=42)
[2026-04-18 13:38:26] [41/100] p50_cfg1_s42: OK (2.5s, spawn=212, pass=158)
[2026-04-18 13:38:26] [42/100] p50_cfg1_s43: 시작 (p=0.5, cfg=1, seed=43)
[2026-04-18 13:38:29] [42/100] p50_cfg1_s43: OK (2.6s, spawn=206, pass=140)
[2026-04-18 13:38:29] [43/100] p50_cfg1_s44: 시작 (p=0.5, cfg=1, seed=44)
[2026-04-18 13:38:31] [43/100] p50_cfg1_s44: OK (2.7s, spawn=181, pass=146)
[2026-04-18 13:38:31] [44/100] p50_cfg1_s45: 시작 (p=0.5, cfg=1, seed=45)
[2026-04-18 13:38:34] [44/100] p50_cfg1_s45: OK (2.4s, spawn=203, pass=143)
[2026-04-18 13:38:34] [45/100] p50_cfg1_s46: 시작 (p=0.5, cfg=1, seed=46)
[2026-04-18 13:38:37] [45/100] p50_cfg1_s46: OK (3.0s, spawn=222, pass=144)
[2026-04-18 13:38:37] [46/100] p50_cfg2_s42: 시작 (p=0.5, cfg=2, seed=42)
[2026-04-18 13:38:39] [46/100] p50_cfg2_s42: OK (2.6s, spawn=212, pass=185)
[2026-04-18 13:38:39] [47/100] p50_cfg2_s43: 시작 (p=0.5, cfg=2, seed=43)
[2026-04-18 13:38:43] [47/100] p50_cfg2_s43: OK (3.2s, spawn=206, pass=197)
[2026-04-18 13:38:43] [48/100] p50_cfg2_s44: 시작 (p=0.5, cfg=2, seed=44)
[2026-04-18 13:38:45] [48/100] p50_cfg2_s44: OK (2.7s, spawn=181, pass=181)
[2026-04-18 13:38:45] [49/100] p50_cfg2_s45: 시작 (p=0.5, cfg=2, seed=45)
[2026-04-18 13:38:48] [49/100] p50_cfg2_s45: OK (2.8s, spawn=203, pass=192)
[2026-04-18 13:38:48] [50/100] p50_cfg2_s46: 시작 (p=0.5, cfg=2, seed=46)
[2026-04-18 13:38:51] [50/100] p50_cfg2_s46: OK (3.0s, spawn=222, pass=199)
[2026-04-18 13:38:51] [51/100] p50_cfg3_s42: 시작 (p=0.5, cfg=3, seed=42)
[2026-04-18 13:38:55] [51/100] p50_cfg3_s42: OK (3.6s, spawn=212, pass=211)
