p,target,pearson_r,pearson_p,spearman_rho
0.1,3B,-0.7057646658437443,1.3207740732026912e-05,-0.9045137980974491
0.1,4B,-0.7953586007498448,1.5062171116195317e-07,-0.8593368311868539
0.1,Bmax,-0.7976144511233385,1.3092283774598745e-07,-0.882261382756977
0.3,3B,-0.8220791460754584,2.5350364815990764e-08,-0.8420115918294957
0.3,4B,-0.9441752273018795,4.960878509979934e-15,-0.8580014204157785
0.3,Bmax,-0.9443150613188234,4.7938809521917336e-15,-0.8632522056267538
0.5,3B,-0.14849137244217508,0.4335579713887473,0.021804427768699466
0.5,4B,-0.6279902465228899,0.0002029401510081681,-0.39425965312383116
0.5,Bmax,-0.6279902465228899,0.0002029401510081681,-0.39425965312383116
0.7,3B,0.2626495900132522,0.16084873660838,0.25987317993715275
0.7,4B,0.21433439550032685,0.2553904820042427,0.2876849500502899
0.7,Bmax,0.21433439550032685,0.2553904820042427,0.2876849500502899
0.8,3B,-0.13073206368461188,0.49108306107745003,-0.12438807606572097
0.8,4B,-0.19625023039454903,0.29862664079212153,-0.13950383888749557
0.8,Bmax,-0.19625023039454903,0.29862664079212153,-0.13950383888749557
