p,config,gate_wait,esc_wait,z2_avg,z2_max,z3b_avg,z3b_max,z4b_avg,z4b_max,z2_los_avg,z2_los_max,z3b_los_avg,z3b_los_max,z4b_los_avg,z4b_los_max
0.1,1,13.789155101877554,22.624802739508265,0.7286904761904762,3.257142857142857,0.2855555555555555,1.5333333333333332,0.8063888888888888,1.9666666666666663,A,D,A,E,D,E
0.1,2,21.41024985350201,20.105972071200746,1.0866071428571427,4.0214285714285705,0.11638888888888883,0.8666666666666666,0.765,1.8666666666666665,C,E,A,D,D,E
0.1,3,32.41207788037817,16.188757132807414,1.6350000000000002,4.6,0.09999999999999995,0.6333333333333333,0.1422222222222222,0.9333333333333332,D,E,A,C,A,D
0.1,4,56.03676357272933,16.129220759056235,2.8451190476190478,5.7214285714285715,0.03833333333333328,0.36666666666666664,0.13361111111111107,0.6666666666666666,D,F,A,B,A,C
0.1,5,125.20984290887566,15.15939053508871,6.362380952380952,12.114285714285714,0.03861111111111106,0.29999999999999993,0.03499999999999994,0.36666666666666664,F,F,A,A,A,B
0.1,6,159.24345595792312,14.804136037612192,9.328690476190477,18.842857142857145,0.00249999999999992,0.1666666666666666,0.029999999999999936,0.3333333333333333,F,F,A,A,A,B
0.3,1,5.409490331177624,24.445529314837174,0.3673214285714286,1.8142857142857143,0.21861111111111103,1.4666666666666668,0.7733333333333333,2.0,A,D,A,E,D,E
0.3,2,8.87613387935731,24.455384099171237,0.5117857142857142,2.2071428571428573,0.32916666666666666,1.7,0.8191666666666666,2.0,A,D,B,E,D,E
0.3,3,14.926444822148657,21.679139442468927,0.7935119047619048,3.25,0.23027777777777775,1.4333333333333333,0.7402777777777778,1.9,A,D,A,E,D,E
0.3,4,26.095478367148786,18.44604470134934,1.3616071428571428,3.7357142857142853,0.12666666666666662,1.2333333333333332,0.47111111111111115,1.8,C,E,A,E,C,E
0.3,5,66.61563567101751,16.054564668327135,3.4761309523809523,6.692857142857143,0.08833333333333329,0.7666666666666666,0.10777777777777771,1.0666666666666669,E,F,A,D,A,E
0.3,6,96.83769249394918,15.637511980221612,6.774523809523809,13.271428571428572,0.02749999999999996,0.5,0.07527777777777772,0.6666666666666666,F,F,A,C,A,C
0.5,1,2.971451037572348,23.06162295499977,0.25630952380952376,1.042857142857143,0.08916666666666664,0.8,0.6288888888888888,1.9,A,C,A,D,C,E
0.5,2,2.5522653062143865,24.413417053082107,0.24642857142857139,1.1857142857142857,0.32249999999999995,1.6333333333333335,0.6780555555555556,1.9,A,C,B,E,C,E
0.5,3,4.263480829840118,26.12512843513158,0.3145238095238095,1.542857142857143,0.3786111111111111,1.8333333333333333,0.805,2.033333333333333,A,D,B,E,D,F
0.5,4,10.07650003381109,24.614398872770977,0.5763690476190476,2.3285714285714283,0.35666666666666663,1.7666666666666668,0.8488888888888889,2.0,A,D,B,E,D,E
0.5,5,20.19476265945937,20.23945731388383,1.0977380952380953,2.9,0.2447222222222222,1.6,0.5341666666666667,1.8333333333333333,C,D,A,E,C,E
0.5,6,57.80252599938585,18.76288688284604,3.870357142857143,7.471428571428572,0.1255555555555555,1.4333333333333331,0.36583333333333334,1.7333333333333332,E,F,A,E,B,E
0.7,1,4.49297530330604,19.450516762855475,0.32654761904761903,0.95,0.0330555555555555,0.6333333333333333,0.29833333333333334,1.7666666666666668,A,B,A,C,A,E
0.7,2,0.6284449979487752,20.79190778720639,0.17422619047619042,0.7714285714285715,0.16444444444444442,1.4666666666666668,0.3258333333333333,1.8,A,A,A,E,B,E
0.7,3,0.5744937543388171,24.934205494799762,0.1685714285714285,0.7714285714285715,0.2127777777777778,1.4666666666666668,0.6672222222222223,2.0,A,A,A,E,C,E
0.7,4,1.4158050983810067,26.532834059492654,0.19619047619047617,0.9214285714285715,0.4427777777777778,1.8333333333333333,0.7194444444444444,2.0,A,B,C,E,D,E
0.7,5,4.453078880200604,26.99207822141259,0.33095238095238094,1.5142857142857142,0.4166666666666667,1.8333333333333333,0.8266666666666665,2.0,A,D,C,E,D,E
0.7,6,19.599323410374268,24.22369250973467,1.1336904761904762,2.335714285714286,0.38583333333333336,1.7666666666666668,0.7133333333333333,1.9333333333333331,C,D,B,E,D,E
0.8,1,5.991428372501034,18.53122920830555,0.40220238095238087,1.0785714285714285,0.012499999999999938,0.26666666666666666,0.12833333333333333,1.3333333333333335,A,C,A,A,A,E
0.8,2,1.1938621747508305,18.6233496800447,0.18369047619047615,0.8142857142857143,0.09333333333333328,1.0333333333333332,0.15277777777777776,1.2333333333333334,A,B,A,E,A,E
0.8,3,0.21922454123609986,23.272133023871866,0.16220238095238093,0.6928571428571428,0.09388888888888884,0.9333333333333333,0.5527777777777778,1.8666666666666665,A,A,A,D,C,E
0.8,4,0.35122490006077706,24.963379260996774,0.15190476190476185,0.6857142857142857,0.3913888888888889,1.8,0.6122222222222222,1.9,A,A,B,E,C,E
0.8,5,1.1442381313479761,28.446108980687125,0.18297619047619046,0.9357142857142857,0.42027777777777775,1.8333333333333333,0.8277777777777778,2.1,A,B,C,E,D,F
0.8,6,5.594901719159482,27.177105415029956,0.3894047619047619,1.4642857142857142,0.4758333333333334,1.8666666666666665,0.8252777777777778,2.0,A,D,C,E,D,E
