[2026-04-18 14:27:47] 전체 모드: 100 시나리오
[2026-04-18 14:27:47] [1/100] p10_cfg1_s42: 시작 (p=0.1, cfg=1, seed=42)
[2026-04-18 14:27:54] [1/100] p10_cfg1_s42: OK (6.1s, spawn=417, pass=417)
[2026-04-18 14:27:54] [2/100] p10_cfg1_s43: 시작 (p=0.1, cfg=1, seed=43)
[2026-04-18 14:28:04] [2/100] p10_cfg1_s43: OK (10.0s, spawn=426, pass=426)
[2026-04-18 14:28:04] [3/100] p10_cfg1_s44: 시작 (p=0.1, cfg=1, seed=44)
[2026-04-18 14:28:14] [3/100] p10_cfg1_s44: OK (10.2s, spawn=382, pass=382)
[2026-04-18 14:28:14] [4/100] p10_cfg1_s45: 시작 (p=0.1, cfg=1, seed=45)
[2026-04-18 14:28:24] [4/100] p10_cfg1_s45: OK (9.1s, spawn=413, pass=413)
[2026-04-18 14:28:24] [5/100] p10_cfg1_s46: 시작 (p=0.1, cfg=1, seed=46)
[2026-04-18 14:28:38] [5/100] p10_cfg1_s46: OK (14.9s, spawn=434, pass=434)
[2026-04-18 14:28:39] [6/100] p10_cfg2_s42: 시작 (p=0.1, cfg=2, seed=42)
[2026-04-18 14:28:46] [6/100] p10_cfg2_s42: OK (7.8s, spawn=417, pass=417)
[2026-04-18 14:28:46] [7/100] p10_cfg2_s43: 시작 (p=0.1, cfg=2, seed=43)
[2026-04-18 14:28:59] [7/100] p10_cfg2_s43: OK (12.7s, spawn=426, pass=426)
[2026-04-18 14:28:59] [8/100] p10_cfg2_s44: 시작 (p=0.1, cfg=2, seed=44)
[2026-04-18 14:29:17] [8/100] p10_cfg2_s44: OK (17.8s, spawn=382, pass=382)
[2026-04-18 14:29:17] [9/100] p10_cfg2_s45: 시작 (p=0.1, cfg=2, seed=45)
[2026-04-18 14:29:34] [9/100] p10_cfg2_s45: OK (17.2s, spawn=413, pass=413)
[2026-04-18 14:29:34] [10/100] p10_cfg2_s46: 시작 (p=0.1, cfg=2, seed=46)
[2026-04-18 14:29:52] [10/100] p10_cfg2_s46: OK (17.9s, spawn=434, pass=434)
[2026-04-18 14:29:52] [11/100] p10_cfg3_s42: 시작 (p=0.1, cfg=3, seed=42)
[2026-04-18 14:30:04] [11/100] p10_cfg3_s42: OK (12.1s, spawn=417, pass=416)
[2026-04-18 14:30:05] [12/100] p10_cfg3_s43: 시작 (p=0.1, cfg=3, seed=43)
[2026-04-18 14:30:20] [12/100] p10_cfg3_s43: OK (15.4s, spawn=426, pass=395)
[2026-04-18 14:30:20] [13/100] p10_cfg3_s44: 시작 (p=0.1, cfg=3, seed=44)
[2026-04-18 14:30:29] [13/100] p10_cfg3_s44: OK (9.0s, spawn=382, pass=377)
[2026-04-18 14:30:29] [14/100] p10_cfg3_s45: 시작 (p=0.1, cfg=3, seed=45)
[2026-04-18 14:30:45] [14/100] p10_cfg3_s45: OK (15.4s, spawn=413, pass=409)
[2026-04-18 14:30:45] [15/100] p10_cfg3_s46: 시작 (p=0.1, cfg=3, seed=46)
