time,zone1_count,zone2_count,zone3_count,zone4_count
0.0,0,0,0,0
5.0,0,0,0,0
10.0,0,0,0,0
15.0,0,0,0,0
20.0,0,0,0,0
25.0,0,0,0,0
30.0,5,1,0,0
35.0,23,3,0,0
40.0,46,9,0,0
45.0,65,16,0,0
50.0,87,21,0,0
55.0,104,27,1,1
60.0,119,35,0,1
65.0,135,59,0,1
70.0,146,80,1,1
75.0,155,88,0,1
80.0,149,85,1,1
85.0,138,70,1,1
90.0,131,58,1,1
95.0,119,49,1,1
100.0,108,40,1,1
105.0,97,32,1,1
110.0,85,23,0,1
115.0,72,14,1,1
120.0,65,6,1,1
125.0,57,0,1,1
130.0,49,0,0,1
135.0,40,0,0,1
140.0,32,0,1,1
145.0,25,0,0,1
150.0,19,0,0,1
155.0,13,0,0,1
160.0,7,0,0,1
165.0,2,0,0,1
170.0,0,0,0,0
175.0,0,0,0,0
180.0,8,1,0,0
185.0,23,4,0,0
190.0,40,9,0,0
195.0,64,11,0,0
200.0,90,23,0,1
205.0,101,29,0,1
210.0,115,45,0,1
215.0,129,63,1,1
220.0,144,83,1,1
225.0,143,79,1,1
230.0,136,69,1,1
235.0,128,60,1,1
240.0,118,50,1,1
245.0,105,42,1,1
250.0,95,34,1,1
255.0,83,26,1,1
260.0,70,17,0,1
265.0,62,9,1,1
270.0,54,1,0,1
275.0,48,0,1,1
280.0,40,0,1,1
285.0,31,0,1,1
290.0,23,0,0,1
295.0,15,0,0,1
