time,track_id,direction,vtype,bbox_height,cx,cy,zone
10:58:03,1,Upward,Car,137,1303,827,0
10:58:04,5,Upward,Truck_S,169,1119,815,1
10:58:05,1,Upward,Car,153,1158,845,0
10:58:07,3,Upward,Car,143,937,815,1
10:58:08,2,Downward,Car,227,296,964,0
10:58:09,1,Downward,Car,209,431,859,0
10:58:09,2,Downward,Car,192,283,980,1
10:58:12,1,Upward,Truck_L,445,1333,843,0
10:58:16,1,Downward,Car,201,651,868,0
10:58:18,2,Upward,Truck_S,132,1133,710,0
10:58:18,1,Upward,Car,187,999,819,0
10:58:19,3,Downward,Car,216,633,891,0
10:58:24,1,Upward,Truck_S,139,1237,835,0
10:58:26,1,Upward,Car,131,1009,812,0
10:58:27,3,Downward,Car,240,308,957,0
10:58:30,1,Downward,Car,193,662,859,0
10:58:30,1,Downward,Car,216,362,899,0
10:58:30,1,Upward,Car,130,950,661,0
10:58:32,2,Downward,Car,275,585,938,1
10:58:35,1,Downward,Car,200,428,881,0
10:58:39,1,Downward,Truck_L,433,249,854,1
10:58:41,1,Downward,Car,207,401,882,0
10:58:45,1,Downward,Car,218,364,886,0
10:58:46,1,Downward,Car,210,522,872,0
10:58:46,2,Upward,Car,107,1080,674,0
10:58:47,1,Downward,Car,186,656,855,0
10:58:47,3,Downward,Truck_S,203,419,853,1
10:58:49,1,Downward,Car,183,428,858,0
10:58:49,3,Downward,Car,243,633,900,1
10:58:50,1,Downward,Car,182,690,859,0
10:58:53,1,Downward,Car,201,392,863,0
10:59:27,1,Upward,Truck_L,309,1207,829,0
11:00:19,1,Upward,Truck_S,178,1094,805,0
11:00:25,1,Upward,Car,140,1011,831,0
11:00:27,1,Upward,Car,137,1019,820,0
11:00:29,2,Upward,Car,140,1008,813,0
11:00:29,1,Upward,Car,127,1196,832,0
11:00:31,3,Upward,Truck_S,196,1095,819,0
11:00:33,1,Upward,Car,149,1219,812,0
11:00:35,1,Upward,Car,145,1025,847,0
