id,direction,t_in,t_out,passage_time_s,v_gate_mps,v_pre_mps,cx_gate,n_frames
10,down,10.096,10.847,0.751,1.331,2.088,197.3,96
19,down,15.727,17.259,1.532,0.653,1.408,262.6,93
30,down,21.538,23.581,2.043,0.49,0.966,208.3,97
37,down,24.033,25.67,1.637,0.611,1.081,304.2,96
57,down,27.553,29.168,1.615,0.619,0.984,214.7,119
117,down,46.734,73.886,27.152,0.037,0.26,262.5,1690
126,up,42.73,43.65,0.921,1.086,0.627,133.1,91
160,up,50.764,51.752,0.988,1.012,0.576,118.0,85
178,up,53.495,54.361,0.866,1.155,0.8,179.1,76
250,up,66.658,68.309,1.651,0.606,0.552,240.5,140
274,up,68.353,70.329,1.976,0.506,0.432,207.6,99
341,down,82.607,84.125,1.518,0.659,0.698,262.5,376
405,up,105.362,107.754,2.392,0.418,0.219,164.9,232
431,up,108.932,110.484,1.552,0.644,0.422,213.4,136
432,up,112.369,113.722,1.353,0.739,0.2,151.6,241
468,up,116.294,117.373,1.079,0.927,0.383,252.7,104
475,up,116.704,118.332,1.628,0.614,0.23,71.8,171
488,up,118.862,120.255,1.393,0.718,0.343,255.9,125
503,down,123.508,127.336,3.828,0.261,0.664,200.5,162
548,up,129.127,130.3,1.173,0.853,0.459,264.6,92
577,down,134.431,152.219,17.788,0.056,0.164,135.6,674
594,down,135.625,137.479,1.854,0.539,0.615,319.6,116
626,down,148.339,150.176,1.836,0.545,0.488,287.8,110
719,down,184.892,186.98,2.087,0.479,0.735,203.4,353
735,down,187.598,193.291,5.693,0.176,0.451,131.4,423
813,down,224.264,225.877,1.613,0.62,1.366,232.7,121
851,up,247.971,249.366,1.395,0.717,0.542,130.1,147
881,down,269.431,270.529,1.097,0.911,1.145,212.7,132
945,down,333.437,334.509,1.072,0.933,1.03,180.8,182
953,down,338.194,339.309,1.114,0.898,0.861,120.9,79
958,down,339.526,341.164,1.637,0.611,0.836,227.0,88
1026,up,370.411,371.683,1.272,0.786,0.355,242.4,122
1031,up,374.327,375.71,1.383,0.723,0.341,228.4,111
1050,up,390.309,391.611,1.302,0.768,0.294,333.9,337
1126,up,394.796,396.014,1.217,0.821,0.604,215.8,68
1133,up,397.827,398.999,1.172,0.854,0.286,160.4,105
1179,up,397.653,398.874,1.221,0.819,0.663,101.7,45
