id,direction,t_in,t_out,passage_time_s,v_gate_mps,v_pre_mps,cx_gate,n_frames
2158,up,688.488,689.988,1.5,0.667,0.44,113.4,112
2173,down,688.885,690.889,2.003,0.499,0.787,202.6,324
2212,up,693.419,695.025,1.606,0.622,0.448,226.6,148
2223,up,697.017,698.389,1.371,0.729,0.406,306.2,184
2224,up,694.042,695.007,0.965,1.036,0.68,98.5,75
2231,up,696.121,696.578,0.457,2.187,0.62,76.1,76
2239,up,694.552,696.328,1.776,0.563,0.396,209.2,71
2259,up,696.097,697.364,1.267,0.789,0.7,149.4,93
2309,up,697.956,699.141,1.185,0.844,0.418,217.1,55
2329,up,698.853,699.918,1.065,0.939,0.895,271.1,74
2345,up,702.306,704.147,1.841,0.543,0.39,303.7,146
2372,down,702.834,704.147,1.314,0.761,0.287,172.7,126
2379,up,703.245,705.364,2.119,0.472,0.349,240.1,83
